DeveloperKey,DeveloperName,NumberGamesDeveloped,AsOfFullDate
rockstar-games,Rockstar Games,23,2020-11-29
sce-santa-monica-studio,SCE Santa Monica Studio,8,2020-11-29
insomniac-games,Insomniac Games,33,2020-11-29
quantic-dream,Quantic Dream,8,2020-11-29
capcom,Capcom,395,2020-11-29
ubisoft,Ubisoft,298,2020-11-29
eidos-montreal,Eidos Montreal,11,2020-11-29
io-interactive-2,IO Interactive,35,2020-11-29
deep-silver,Deep Silver,36,2020-11-29
motion-twin,Motion Twin,6,2020-11-29
facepunch-studios,Facepunch Studios,7,2020-11-29
unknown-worlds-entertainment,Unknown Worlds Entertainment,4,2020-11-29
matt-makes-games-inc,Matt Makes Games Inc.,2,2020-11-29
dontnod-entertainment,DONTNOD Entertainment,9,2020-11-29
innersloth,Innersloth,2,2020-11-29
fromsoftware,FromSoftware,60,2020-11-29
playground-games,Playground Games,9,2020-11-29
electronic-arts,Electronic Arts,316,2020-11-29
11-bit-studios,11 Bit Studios,18,2020-11-29
nomada-studio,Nomada Studio,1,2020-11-29
endnight-games-ltd,Endnight Games Ltd,2,2020-11-29
fatshark,Fatshark,17,2020-11-29
cd-projekt-red,CD PROJEKT RED,16,2020-11-29
landfall,Landfall,6,2020-11-29
rare,Rare,88,2020-11-29
guts-department,GUTS Department,1,2020-11-29
kaiko,Kaiko,10,2020-11-29
iguanabee,IguanaBee,1,2020-11-29
ninja-theory,Ninja Theory,19,2020-11-29
subset-games,Subset Games,3,2020-11-29
vox,Vox,6,2020-11-29
gunfire-games,Gunfire Games,7,2020-11-29
codemasters,Codemasters,95,2020-11-29
hi-rez-studios,Hi-Rez Studios,29,2020-11-29
activision,Activision,167,2020-11-29
tencent-games,Tencent Games,9,2020-11-29
funcom-oslo-as,Funcom Oslo A/S,3,2020-11-29
bethesda-game-studios,Bethesda Game Studios,32,2020-11-29
two-point-studios,Two Point Studios,1,2020-11-29
plug-in-digital,Plug In Digital,209,2020-11-29
developer-3909,3909,4,2020-11-29
aquiris-game-studio,Aquiris Game Studio,4,2020-11-29
haemimont-games,Haemimont Games,37,2020-11-29
electronic-arts-vancouver,Electronic Arts Vancouver,8,2020-11-29
blazing-griffin,Blazing Griffin,6,2020-11-29
nintendo,Nintendo,396,2020-11-29
darkflow-software,Darkflow Software,2,2020-11-29
lazy-bear-games,Lazy Bear Games,3,2020-11-29
bandai-namco-entertainment-america-inc,BANDAI NAMCO Entertainment America Inc.,151,2020-11-29
orange_juice,Orange_Juice,9,2020-11-29
beenox,Beenox,31,2020-11-29
ghost-town-games-ltd,Ghost Town Games Ltd.,4,2020-11-29
klei-entertainment,Klei Entertainment,21,2020-11-29
cheerdealers,Cheerdealers,3,2020-11-29
big-bad-wolf,Big Bad Wolf,2,2020-11-29
cyanide-studio,Cyanide Studio,63,2020-11-29
arc-system-works,Arc System Works,82,2020-11-29
undead-labs,Undead Labs,10,2020-11-29
owlcat-games,Owlcat Games,7,2020-11-29
frontier-developments,Frontier Developments,35,2020-11-29
contingent99,Contingent99,2,2020-11-29
avalanche-studios,Avalanche Studios,17,2020-11-29
devolver-digital,Devolver Digital,55,2020-11-29
joakim-sandberg,Joakim Sandberg,3,2020-11-29
coldwood-interactive,Coldwood Interactive,9,2020-11-29
d3t,d3t,3,2020-11-29
drinkbox-studios-2,DrinkBox Studios,6,2020-11-29
stitch-heads-entertainment,Stitch Heads Entertainment,1,2020-11-29
larian-studios,Larian Studios,16,2020-11-29
hyperbolic-magnetism,Hyperbolic Magnetism,9,2020-11-29
square-enix,Square Enix,295,2020-11-29
sce-japan-studio,SCE Japan Studio,22,2020-11-29
scavengers-studio,Scavengers Studio,1,2020-11-29
sega,SEGA,509,2020-11-29
obsidian-entertainment,Obsidian Entertainment,36,2020-11-29
creativeforge-games,CreativeForge Games,5,2020-11-29
flow-fire,Flow Fire,1,2020-11-29
thq-nordic,THQ Nordic,66,2020-11-29
ghost-ship-games,Ghost Ship Games,1,2020-11-29
toxic-games,Toxic Games,4,2020-11-29
505-games,505 Games,51,2020-11-29
thing-trunk,Thing Trunk,3,2020-11-29
compulsion-games,Compulsion Games,6,2020-11-29
alawar-entertainment,Alawar Entertainment,187,2020-11-29
harebrained-schemes,Harebrained Schemes,12,2020-11-29
secret-location-inc,Secret Location Inc.,2,2020-11-29
caged-element-inc,Caged Element Inc.,1,2020-11-29
playdigious,Playdigious,22,2020-11-29
arkane-studios,Arkane Studios,20,2020-11-29
lunarch-studios,Lunarch Studios,1,2020-11-29
villa-gorilla,Villa Gorilla,1,2020-11-29
sc-jogos,SC Jogos,8,2020-11-29
curve-digital,Curve Digital,37,2020-11-29
rebellion,Rebellion,50,2020-11-29
