GameKey,GameName,MainGenre,SubGenre
red-dead-redemption-2,Red Dead Redemption 2,Adventure,Action
god-of-war-2,God of War,Adventure,Action
marvels-spider-man,Marvel's Spider-Man,Adventure,Action
detroit-become-human,Detroit: Become Human,Adventure,Action
monster-hunter-world-2,Monster Hunter: World,Action,RPG
far-cry-5,Far Cry 5,Shooter,Action
assassins-creed-odyssey,Assassin's Creed Odyssey,Action,RPG
shadow-of-the-tomb-raider,Shadow of the Tomb Raider,Adventure,Action
hitman-2,Hitman 2,Action,none
kingdom-come-deliverance,Kingdom Come: Deliverance,Adventure,Action
dead-cells,Dead Cells,Platformer,Indie
rust,Rust,Shooter,Action
subnautica,Subnautica,Indie,Adventure
celeste,Celeste,Platformer,Indie
the-awesome-adventures-of-capitan-spirit,The Awesome Adventures of Captain Spirit,Adventure,none
among-us,Among Us,Casual,Action
dark-souls8482-remastered,Dark Souls: Remastered,Action,none
forza-horizon-4,Forza Horizon 4,Racing,Massively Multiplayer
a-way-out-2018,A Way Out,Indie,Adventure
vampyr,Vampyr,Action,RPG
frostpunk,Frostpunk,Strategy,Simulation
gris,Gris,Indie,Platformer
the-forest,The Forest,Indie,Adventure
warhammer-vermintide-2,Warhammer: Vermintide 2,Indie,Action
gwent-the-witcher-card-game,Gwent: The Witcher Card Game,Card,Strategy
totally-accurate-battlegrounds,Totally Accurate Battlegrounds,Shooter,Indie
sea-of-thieves,Sea of Thieves,Adventure,Action
aegis-defenders,Aegis Defenders,Adventure,Action
red-faction-guerilla-re-mars-tered,Red Faction Guerrilla Re-Mars-tered,Shooter,Arcade
headsnatchers,Headsnatchers,Casual,Indie
hellblade-senuas-sacrifice-vr-edition,Hellblade: Senua's Sacrifice VR Edition,Indie,Adventure
into-the-breach,Into the Breach,Strategy,Indie
regions-of-ruin,Regions Of Ruin,Adventure,Action
darksiders-iii,Darksiders III,Adventure,Action
f1-2018,F1 2018,Racing,Simulation
realm-royale,Realm Royale,Action,none
battlefield-v,Battlefield V,Massively Multiplayer,Shooter
spyro-reignited-trilogy,Spyro Reignited Trilogy,Adventure,Action
europa-2017,Ring of Elysium,Shooter,Massively Multiplayer
moonlighter,Moonlighter,Indie,Adventure
mutant-year-zero-road-to-eden,Mutant Year Zero: Road to Eden,Strategy,Adventure
fallout-76,Fallout 76,Adventure,Action
two-point-hospital,Two Point Hospital,RPG,Simulation
northgard,Northgard,Indie,Strategy
return-of-the-obra-dinn,Return Of The Obra Dinn,Indie,Adventure
horizon-chase-turbo,Horizon Chase Turbo,Racing,Action
surviving-mars,Surviving Mars,Strategy,Simulation
fifa-19,FIFA 19,Simulation,Sports
murderous-pursuits,Murderous Pursuits,Action,RPG
super-smash-bros-ultimate,Super Smash Bros. Ultimate,Fighting,none
cuisine-royale,Cuisine Royale,Massively Multiplayer,Action
graveyard-keeper,Graveyard Keeper,Indie,Adventure
ni-no-kuni-ii-revenant-kingdom,Ni no Kuni II: Revenant Kingdom,Adventure,RPG
acceleration-of-suguri-2,Acceleration of SUGURI 2,Indie,Action
call-of-duty-black-ops-4,Call of Duty: Black Ops 4,Shooter,Action
overcooked-2,Overcooked! 2,Casual,Indie
onrush,Onrush,Racing,Arcade
mark-of-the-ninja-remastered,Mark of the Ninja: Remastered,Platformer,Indie
im-not-a-monster,I’m not a Monster,Strategy,RPG
the-council,The Council,Adventure,Action
call-of-cthulhu-the-official-video-game,Call of Cthulhu,Adventure,Action
dragon-ball-fighterz,DRAGON BALL FighterZ,Action,Fighting
state-of-decay-2,State of Decay 2,Shooter,Action
burnout-paradise-remastered,Burnout Paradise Remastered,Racing,Adventure
pathfinder-kingmaker,Pathfinder: Kingmaker,RPG,none
jurassic-world-evolution-2,Jurassic World Evolution,Strategy,Action
wizard-of-legend,Wizard of Legend,Indie,Adventure
just-cause-4,Just Cause 4,Adventure,Action
minit,Minit,Indie,Adventure
iconoclasts,Iconoclasts,Indie,Platformer
unravel-two,Unravel Two,Platformer,Adventure
shenmue-i-ii,Shenmue I & II,Adventure,Action
soulcalibur-vi,SoulCalibur VI,Action,Fighting
guacamelee-2,Guacamelee! 2,Adventure,Action
kabounce,Kabounce,Indie,Action
divinity-original-sin-ii-definitive-edition,Divinity: Original Sin 2 - Definitive Edition,RPG,none
beat-saber,Beat Saber,Indie,Action
dragon-quest-xi,DRAGON QUEST XI: Echoes of an Elusive Age,RPG,none
shadow-of-the-colossus-2018,Shadow of the Colossus  (2018),Adventure,Action
gwent-thronebreaker,Thronebreaker: The Witcher Tales,Strategy,Adventure
darwin-project-open-beta,Darwin Project - Open Beta,Adventure,Action
yakuza-kiwami-2,Yakuza Kiwami 2,Adventure,Action
final-fantasy-xv-windows-edition,FINAL FANTASY XV WINDOWS EDITION,RPG,none
pillars-of-eternity-ii-deadfire,Pillars of Eternity II: Deadfire,RPG,none
phantom-doctrine,Phantom Doctrine,Strategy,Action
synthetik,SYNTHETIK,Indie,Action
this-is-the-police-2,This Is the Police 2,Indie,Strategy
deep-rock-galactic,Deep Rock Galactic,Indie,Action
qube-2,Q.U.B.E. 2,Indie,Adventure
