GameKey,DateKey,DeveloperKey,PublisherKey,PlatfromKey,StoreKey,ESRBKey,PublicRating,Metacritic,Playtime,OwnerReviews
red-dead-redemption-2,2018-10-26,rockstar-games,rockstar-games,pc,steam,mature,4.56,96.0,20,2901
red-dead-redemption-2,2018-10-26,rockstar-games,rockstar-games,pc,epic-games,mature,4.56,96.0,20,2901
red-dead-redemption-2,2018-10-26,rockstar-games,rockstar-games,pc,xbox-store,mature,4.56,96.0,20,2901
red-dead-redemption-2,2018-10-26,rockstar-games,rockstar-games,xbox-one,xbox-store,mature,4.56,96.0,20,2901
red-dead-redemption-2,2018-10-26,rockstar-games,rockstar-games,playstation4,playstation-store,mature,4.56,96.0,20,2901
god-of-war-2,2018-04-20,sce-santa-monica-studio,sony-interactive-entertainment,playstation4,playstation-store,mature,4.6,94.0,20,2876
marvels-spider-man,2018-09-07,insomniac-games,sony-computer-entertainment,playstation4,playstation-store,teen,4.46,87.0,6,2290
detroit-become-human,2018-05-25,quantic-dream,sony-computer-entertainment,pc,steam,mature,4.26,79.0,10,1798
detroit-become-human,2018-05-25,quantic-dream,sony-computer-entertainment,pc,epic-games,mature,4.26,79.0,10,1798
detroit-become-human,2018-05-25,quantic-dream,sony-computer-entertainment,playstation4,playstation-store,mature,4.26,79.0,10,1798
monster-hunter-world-2,2018-01-26,capcom,capcom,pc,steam,teen,4.08,89.0,15,1082
monster-hunter-world-2,2018-01-26,capcom,capcom,pc,xbox-store,teen,4.08,89.0,15,1082
monster-hunter-world-2,2018-01-26,capcom,capcom,xbox-one,xbox-store,teen,4.08,89.0,15,1082
monster-hunter-world-2,2018-01-26,capcom,capcom,playstation4,playstation-store,teen,4.08,89.0,15,1082
far-cry-5,2018-03-27,ubisoft,ubisoft-entertainment,pc,xbox-store,mature,3.71,80.0,19,1212
far-cry-5,2018-03-27,ubisoft,ubisoft-entertainment,pc,steam,mature,3.71,80.0,19,1212
far-cry-5,2018-03-27,ubisoft,ubisoft-entertainment,xbox-one,xbox-store,mature,3.71,80.0,19,1212
far-cry-5,2018-03-27,ubisoft,ubisoft-entertainment,playstation4,playstation-store,mature,3.71,80.0,19,1212
assassins-creed-odyssey,2018-10-05,ubisoft,ubisoft-entertainment,pc,epic-games,mature,4.05,85.0,32,1192
assassins-creed-odyssey,2018-10-05,ubisoft,ubisoft-entertainment,pc,xbox-store,mature,4.05,85.0,32,1192
assassins-creed-odyssey,2018-10-05,ubisoft,ubisoft-entertainment,pc,steam,mature,4.05,85.0,32,1192
assassins-creed-odyssey,2018-10-05,ubisoft,ubisoft-entertainment,xbox-one,xbox-store,mature,4.05,85.0,32,1192
assassins-creed-odyssey,2018-10-05,ubisoft,ubisoft-entertainment,playstation4,playstation-store,mature,4.05,85.0,32,1192
assassins-creed-odyssey,2018-10-05,ubisoft,ubisoft-entertainment,nintendo-switch,nintendo,mature,4.05,85.0,32,1192
shadow-of-the-tomb-raider,2018-09-14,eidos-montreal,square-enix,pc,steam,mature,3.83,78.0,10,882
