PublisherKey,PublisherName,NumberGamesPublished,AsOfFullDate
electronic-arts,Electronic Arts,1226.0,2020-11-29
activison,Activison,33.0,2020-11-29
2k-games,2K Games,190.0,2020-11-29
capcom,Capcom,552.0,2020-11-29
505-games,505 Games,142.0,2020-11-29
private-division,Private Division,9.0,2020-11-29
deep-silver,Deep Silver,169.0,2020-11-29
betadwarf,BetaDwarf,3.0,2020-11-29
focus-home-interactive,Focus Home Interactive,139.0,2020-11-29
sony-interactive-entertainment,Sony Interactive Entertainment,287.0,2020-11-29
microsoft-studios,Microsoft Studios,462.0,2020-11-29
humble-bundle,Humble Bundle,29.0,2020-11-29
warner-bros-interactive,Warner Bros. Interactive,193.0,2020-11-29
independent,Self Published,,2020-11-29
devolver-digital,Devolver Digital,126.0,2020-11-29
ubisoft-entertainment,Ubisoft Entertainment,980.0,2020-11-29
codemasters,Codemasters,181.0,2020-11-29
disney-interactive,Disney Interactive,320.0,2020-11-29
bethesda-softworks,Bethesda Softworks,154.0,2020-11-29
team17-digital-ltd,Team17 Digital,113.0,2020-11-29
annapurna-interactive,Annapurna Interactive,25.0,2020-11-29
adult-swim-games,Adult Swim Games,34.0,2020-11-29
system-era-softworks,System Era Softworks,2.0,2020-11-29
panic,Panic,2.0,2020-11-29
pathea-games,Pathea Games,7.0,2020-11-29
perfect-world-entertainment,Perfect World Entertainment,23.0,2020-11-29
shiro-games,Shiro Games,6.0,2020-11-29
hempuli-oy,Hempuli Oy,2.0,2020-11-29
bandai-namco-entertainment,Bandai Namco Entertainment,482.0,2020-11-29
kindly-beast,Kindly Beast,1.0,2020-11-29
chucklefish,Chucklefish,18.0,2020-11-29
activision-blizzard,Activision Blizzard,727.0,2020-11-29
freejam,Freejam,3.0,2020-11-29
epic-games-inc-2,"Epic Games, Inc.",22.0,2020-11-29
nintendo,Nintendo,1161.0,2020-11-29
ice-pick-lodge,Ice-Pick Lodge,4.0,2020-11-29
11-bit-studios,11 bit studios,22.0,2020-11-29
lionsgate,Lionsgate,2.0,2020-11-29
