name,slug,released,genre,rating,metacritic
Fall Guys: Ultimate Knockout,fall-guys,2020-08-04,Action,4.0,80.0
The Last of Us Part II,the-last-of-us-part-2,2020-06-19,Shooter,4.37,93.0
DOOM Eternal,doom-eternal,2020-03-20,Shooter,4.37,88.0
Mafia II: Definitive Edition,mafia-ii-definitive-edition,2020-05-19,Adventure,3.47,65.0
Dota Underlords,dota-underlords,2020-02-25,Casual,3.22,
Ghost of Tsushima,ghost-of-tsushima,2020-07-17,Adventure,4.44,83.0
Ori and the Will of the Wisps,ori-and-the-will-of-the-wisps,2020-03-10,Platformer,4.44,89.0
Final Fantasy VII Remake,final-fantasy-vii-remake,2020-04-10,Adventure,4.64,87.0
Mafia III: Definitive Edition,mafia-iii-definitive-edition,2020-05-19,Adventure,3.11,
SUPERHOT: MIND CONTROL DELETE,superhot-mind-control-delete,2020-07-15,Indie,3.82,79.0
Resident Evil 3,resident-evil-3,2020-04-02,Shooter,4.04,80.0
Factorio,factorio,2020-08-14,Casual,4.33,94.0
Kentucky Route Zero,kentucky-route-zero,2020-01-28,Indie,4.01,81.0
Risk of Rain 2,risk-of-rain-2,2020-08-11,Shooter,4.1,85.0
Hades,hades-2018,2020-09-17,Indie,4.43,94.0
Helltaker,helltaker,2020-05-11,Indie,4.05,
Streets of Rage 4,streets-of-rage-4,2020-04-30,Indie,4.08,84.0
Streets of kamurocho,streets-of-kamurocho,2020-10-17,Action,3.6,
Mafia: Definitive Edition,mafia,2020-09-25,Adventure,4.23,79.0
Animal Crossing: New Horizons,animal-crossing-2019,2020-03-20,Simulation,4.37,90.0
Genshin Impact,genshin-impact,2020-09-28,Adventure,3.84,80.0
Half-Life: Alyx,half-life-alyx,2020-03-23,Shooter,4.35,93.0
Endless Zone,endless-zone,2020-10-16,Action,0.0,
Armor of Heroes,armor-of-heroes,2020-10-15,Action,0.0,
Marvel’s Avengers,marvels-avengers,2020-09-04,Adventure,2.66,67.0
Persona 5 Royal,persona-5-royal,2020-03-31,Adventure,4.76,95.0
Call of Duty: Modern Warfare 2 Campaign Remastered,call-of-duty-modern-warfare-2-campaign-remastered,2020-03-31,Shooter,4.01,71.0
Watch Dogs Legion,watch-dogs-legion,2020-10-29,Shooter,3.24,75.0
Devolverland Expo,devolverland-expo,2020-07-11,Indie,3.81,
Carrion,carrion,2020-07-23,Indie,3.91,75.0
Wasteland 3,wasteland-3,2020-08-28,Strategy,3.93,83.0
Squad,squad,2020-09-23,Shooter,3.92,
Mount & Blade II: Bannerlord,mount-blade-ii-bannerlord,2020-03-29,Strategy,4.01,
Golden Axed: A Cancelled Prototype,golden-axed-a-cancelled-prototype,2020-10-18,Action,0.0,
